Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,49324,6,5,9,11,25,1,197,0.000%,100.19013,31.99,15.95
TOTAL,49324,6,5,9,11,25,1,197,0.000%,100.19013,31.99,15.95
